country,state,cases,deaths,mortality_rate
afghanistan,,110,4,0.03636363636363636
albania,,197,10,0.050761421319796954
algeria,,454,29,0.06387665198237885
andorra,,308,3,0.00974025974025974
angola,,5,0,0.0
antigua and barbuda,,7,0,0.0
argentina,,690,18,0.02608695652173913
armenia,,407,1,0.002457002457002457
australia,australian capital territory,71,0,0.0
australia,new south wales,1617,8,0.004947433518862091
australia,northern territory,15,0,0.0
australia,queensland,625,1,0.0016
australia,south australia,287,0,0.0
australia,tasmania,62,0,0.0
australia,victoria,685,3,0.004379562043795621
australia,western australia,278,2,0.007194244604316547
austria,,8271,68,0.008221496796034337
azerbaijan,,182,4,0.02197802197802198
bahamas,,10,0,0.0
bahrain,,476,4,0.008403361344537815
bangladesh,,48,5,0.10416666666666667
barbados,,26,0,0.0
belarus,,94,0,0.0
belgium,,9134,353,0.0386468141011605
benin,,6,0,0.0
bhutan,,3,0,0.0
bolivia,,74,0,0.0
bosnia and herzegovina,,258,5,0.01937984496124031
brazil,,3904,111,0.028432377049180328
brunei,,120,1,0.008333333333333333
bulgaria,,331,7,0.021148036253776436
burkina faso,,207,11,0.05314009661835749
cabo verde,,5,1,0.2
cambodia,,99,0,0.0
cameroon,,91,2,0.02197802197802198
canada,alberta,542,2,0.0036900369003690036
canada,british columbia,884,17,0.019230769230769232
canada,grand princess,13,0,0.0
canada,manitoba,64,1,0.015625
canada,new brunswick,51,0,0.0
canada,newfoundland and labrador,120,0,0.0
canada,nova scotia,110,0,0.0
canada,ontario,1144,18,0.015734265734265736
canada,prince edward island,11,0,0.0
canada,quebec,2498,22,0.008807045636509208
canada,saskatchewan,134,0,0.0
central african republic,,3,0,0.0
chad,,3,0,0.0
chile,,1909,6,0.003143006809848088
china,anhui,990,6,0.006060606060606061
china,beijing,573,8,0.013961605584642234
china,chongqing,578,6,0.010380622837370242
china,fujian,337,1,0.002967359050445104
china,gansu,136,2,0.014705882352941176
china,guangdong,1467,8,0.0054533060668029995
china,guangxi,254,2,0.007874015748031496
china,guizhou,146,2,0.0136986301369863
china,hainan,168,6,0.03571428571428571
china,hebei,319,6,0.018808777429467086
china,heilongjiang,484,13,0.026859504132231406
china,henan,1275,22,0.017254901960784313
china,hong kong,561,4,0.0071301247771836
china,hubei,67801,3177,0.0468577159628914
china,hunan,1018,4,0.003929273084479371
china,inner mongolia,94,1,0.010638297872340425
china,jiangsu,641,0,0.0
